2025-03-30 12:17:42 [INFO]: Найден товар: Огурец Сюрприз F1 (арт. 13326), схожесть: 0.0%
2025-03-30 12:17:42 [INFO]: Найден товар: Роза Красная (арт. 98765), схожесть: 0.0%
2025-03-30 12:17:42 [INFO]: Найден товар: Томат Балконное Чудо (арт. 41047), схожесть: 0.0%
2025-03-30 12:17:42 [INFO]: Пользователь подключился, userId: 2
2025-03-30 12:17:43 [INFO]: Найден товар: Арбуз АУ Продюсер ПВП (арт. 11112), схожесть: 0.0%
2025-03-30 12:17:43 [INFO]: Найден товар: Баклажан Северный Блюз (арт. 11111), схожесть: 0.0%
2025-03-30 12:17:43 [INFO]: Найден товар: Кабачок Президент 1 (арт. 11113), схожесть: 0.0%
2025-03-30 12:17:43 [INFO]: Найден товар: Огурец Сюрприз F1 (арт. 13326), схожесть: 0.0%
2025-03-30 12:17:43 [INFO]: Найден товар: Роза Красная (арт. 98765), схожесть: 0.0%
2025-03-30 12:17:43 [INFO]: Найден товар: Томат Балконное Чудо (арт. 41047), схожесть: 0.0%
2025-03-30 12:17:43 [INFO]: Пользователь подключился, userId: 2
2025-03-30 12:17:44 [INFO]: Найден товар: Арбуз АУ Продюсер ПВП (арт. 11112), схожесть: 0.0%
2025-03-30 12:17:44 [INFO]: Найден товар: Баклажан Северный Блюз (арт. 11111), схожесть: 0.0%
2025-03-30 12:17:44 [INFO]: Найден товар: Кабачок Президент 1 (арт. 11113), схожесть: 0.0%
2025-03-30 12:17:44 [INFO]: Найден товар: Огурец Сюрприз F1 (арт. 13326), схожесть: 0.0%
2025-03-30 12:17:44 [INFO]: Найден товар: Роза Красная (арт. 98765), схожесть: 0.0%
2025-03-30 12:17:44 [INFO]: Найден товар: Томат Балконное Чудо (арт. 41047), схожесть: 0.0%
2025-03-30 12:17:44 [INFO]: Пользователь подключился, userId: 2
2025-03-30 12:18:14 [INFO]: Найден товар: Арбуз АУ Продюсер ПВП (арт. 11112), схожесть: 0.0%
2025-03-30 12:18:14 [INFO]: Найден товар: Баклажан Северный Блюз (арт. 11111), схожесть: 0.0%
2025-03-30 12:18:14 [INFO]: Найден товар: Кабачок Президент 1 (арт. 11113), схожесть: 0.0%
2025-03-30 12:18:14 [INFO]: Найден товар: Огурец Сюрприз F1 (арт. 13326), схожесть: 0.0%
2025-03-30 12:18:14 [INFO]: Найден товар: Роза Красная (арт. 98765), схожесть: 0.0%
2025-03-30 12:18:14 [INFO]: Найден товар: Томат Балконное Чудо (арт. 41047), схожесть: 0.0%
2025-03-30 12:18:14 [INFO]: Пользователь подключился, userId: 2
2025-03-30 12:20:22 [INFO]: Найден товар: Арбуз АУ Продюсер ПВП (арт. 11112), схожесть: 0.0%
2025-03-30 12:20:22 [INFO]: Найден товар: Баклажан Северный Блюз (арт. 11111), схожесть: 0.0%
2025-03-30 12:20:22 [INFO]: Найден товар: Кабачок Президент 1 (арт. 11113), схожесть: 0.0%
2025-03-30 12:20:22 [INFO]: Найден товар: Огурец Сюрприз F1 (арт. 13326), схожесть: 0.0%
2025-03-30 12:20:22 [INFO]: Найден товар: Роза Красная (арт. 98765), схожесть: 0.0%
2025-03-30 12:20:22 [INFO]: Найден товар: Томат Балконное Чудо (арт. 41047), схожесть: 0.0%
2025-03-30 12:20:26 [INFO]: Пользователь подключился, userId: 2
2025-03-30 12:20:27 [INFO]: Найден товар: Арбуз АУ Продюсер ПВП (арт. 11112), схожесть: 0.0%
2025-03-30 12:20:27 [INFO]: Найден товар: Баклажан Северный Блюз (арт. 11111), схожесть: 0.0%
2025-03-30 12:20:27 [INFO]: Найден товар: Кабачок Президент 1 (арт. 11113), схожесть: 0.0%
2025-03-30 12:20:27 [INFO]: Найден товар: Огурец Сюрприз F1 (арт. 13326), схожесть: 0.0%
2025-03-30 12:20:27 [INFO]: Найден товар: Роза Красная (арт. 98765), схожесть: 0.0%
2025-03-30 12:20:27 [INFO]: Найден товар: Томат Балконное Чудо (арт. 41047), схожесть: 0.0%
2025-03-30 12:22:13 [INFO]: Найден товар: Арбуз АУ Продюсер ПВП (арт. 11112), схожесть: 0.0%
2025-03-30 12:22:13 [INFO]: Найден товар: Баклажан Северный Блюз (арт. 11111), схожесть: 0.0%
2025-03-30 12:22:13 [INFO]: Найден товар: Кабачок Президент 1 (арт. 11113), схожесть: 0.0%
2025-03-30 12:22:13 [INFO]: Найден товар: Огурец Сюрприз F1 (арт. 13326), схожесть: 0.0%
2025-03-30 12:22:13 [INFO]: Найден товар: Роза Красная (арт. 98765), схожесть: 0.0%
2025-03-30 12:22:13 [INFO]: Найден товар: Томат Балконное Чудо (арт. 41047), схожесть: 0.0%
2025-03-30 18:08:14 [INFO]: Сервер запущен на порту 3000
2025-03-30 18:08:14 [INFO]: Успешно подключено к базе данных PostgreSQL
2025-03-30 18:08:14 [INFO]: Пользователь подключился, userId: null
2025-03-30 18:08:16 [INFO]: Найден товар: Арбуз АУ Продюсер ПВП (арт. 11112), схожесть: 0.0%
2025-03-30 18:08:16 [INFO]: Найден товар: Баклажан Северный Блюз (арт. 11111), схожесть: 0.0%
